Age;Total;Man;Woman
All people;228076;107312;120764
Up to 1 year;2345;1211;1134
1;2538;1341;1197
2;2465;1282;1183
3;2549;1367;1182
4;2542;1281;1261
0-4;12439;6482;5957
5;2336;1200;1136
6;2501;1317;1184
7;2723;1395;1328
8;2621;1334;1287
9;2470;1233;1237
5-9;12651;6479;6172
10;2380;1218;1162
11;2322;1225;1097
12;2068;1042;1026
13;1951;1013;938
14;1803;912;891
10-14;10524;5410;5114
15;1851;920;931
16;1743;832;911
17;2533;1190;1343
18;2886;1434;1452
19;3236;1616;1620
15-19;12249;5992;6257
20;3449;1796;1653
21;3297;1759;1538
22;3208;1666;1542
23;3362;1691;1671
24;3348;1750;1598
20-24;16664;8662;8002
25;3657;1799;1858
26;3689;1825;1864
27;3923;1915;2008
28;4020;1930;2090
29;4463;2253;2210
25-29;19752;9722;10030
30;4526;2142;2384
31;5906;2827;3079
32;6440;3393;3047
33;5423;2974;2449
34;4459;2232;2227
30-34;26754;13568;13186
35;4199;2133;2066
36;3578;1775;1803
37;3504;1710;1794
38;3259;1548;1711
39;3226;1583;1643
35-39;17766;8749;9017
40;3053;1503;1550
41;3109;1510;1599
42;2979;1463;1516
43;2985;1458;1527
44;2846;1298;1548
40-44;14972;7232;7740
45;2878;1328;1550
46;2841;1256;1585
47;2775;1284;1491
48;2642;1197;1445
49;2807;1214;1593
45-49;13943;6279;7664
50;2807;1247;1560
51;2974;1258;1716
52;3219;1390;1829
53;3288;1455;1833
54;3440;1522;1918
50-54;15728;6872;8856
55;3633;1638;1995
56;3452;1459;1993
57;3331;1378;1953
58;3178;1396;1782
59;2903;1259;1644
55-59;16497;7130;9367
60;2846;1155;1691
61;2764;1120;1644
62;2339;981;1358
63;2430;996;1434
64;2450;1028;1422
60-64;12829;5280;7549
65;2328;990;1338
66;2196;900;1296
67;1988;811;1177
68;1785;710;1075
69;1452;566;886
65-69;9749;3977;5772
70;1230;482;748
71;1244;486;758
72;909;348;561
73;959;349;610
74;1287;518;769
70-74;5629;2183;3446
75;1303;501;802
76;1096;437;659
77;997;345;652
78;1050;343;707
79;857;297;560
75-79;5303;1923;3380
80 years and more;4627;1372;3255
